eos,control,compound_name,smiles,inchikey,concentration,activity,value
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,50,active,98.00410291
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,50,active,98.29036997
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,16.25,active,96.90999231
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,16.25,active,97.07938204
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,5,active,89.66150953
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,5,active,90.81073861
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,1.25,active,68.80502607
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,1.25,active,62.45937403
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.5,active,43.29857253
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.5,active,42.86986332
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.1625,active,16.42448072
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.1625,active,24.77627888
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.05,active,1.038550303
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.05,active,2.266150216
EOS100028,,Indirubin-3'-monoxime,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N/O,HBDSHCUSXQATPO-OIXOFKMYSA-N,0.0125,active,-9.834173861
